Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Josan,0,0.26,0,5,3,0.0,7,1,4,0,1.0,3,2,149,89.76,11
Jose Salinas,0,,0,3,0,0.0,2,2,5,0,2.0,0,0,92,85.98,4
Josep Chavarría,1,0.45,1,12,14,7.14,40,25,58,1,12.0,3,2,796,84.95,16
Joseph Aidoo,0,0.24,2,1,2,0.0,2,4,18,0,1.0,0,0,77,91.67,0
Josip Brekalo,0,0.29,0,4,9,0.0,12,3,1,0,0.0,3,0,152,72.73,11
José Copete,0,1.49,3,7,11,0.0,25,22,109,1,15.0,0,0,807,86.03,5
José Luis Gayà,1,0.64,1,5,8,12.5,40,11,50,1,5.0,2,1,448,81.45,13
José Luis Morales,1,2.02,4,9,8,12.5,7,3,2,0,1.0,2,1,78,72.22,6
José Luis Pérez,0,0.04,0,0,1,0.0,0,0,2,0,0.0,0,0,1,25.0,0
José María Giménez,0,1.32,2,0,9,0.0,11,10,33,0,6.0,0,0,457,89.78,0
José Ángel Carmona,1,0.53,1,13,14,7.14,50,26,58,1,7.0,3,3,704,82.34,11
Jozhua Vertrouwd,0,0.05,0,0,1,0.0,4,3,13,1,3.0,0,0,126,92.65,2
João Cancelo,0,,0,1,0,0.0,3,1,3,0,0.0,1,0,53,88.33,1
Juan Arango,0,,0,2,0,0.0,0,0,0,0,0.0,0,0,3,100.0,0
Juan Cruz,0,0.39,1,2,1,0.0,4,3,21,0,4.0,0,0,177,87.19,2
Juan Foyth,0,0.12,0,3,2,0.0,20,16,56,0,10.0,0,0,507,89.73,0
Juan Iglesias,1,0.88,0,19,18,5.56,61,14,79,2,6.0,2,2,377,65.57,9
Juan Musso,0,,0,0,0,0.0,0,0,1,0,0.0,0,0,25,96.15,0
Juanlu Sánchez,0,0.66,0,17,10,0.0,41,8,22,0,0.0,3,2,431,82.25,17
Juanmi,1,0.15,2,1,2,50.0,2,0,0,0,0.0,0,0,24,66.67,3
Jude Bellingham,4,5.35,6,23,36,11.11,41,12,12,0,1.0,3,3,738,89.89,30
Julen Agirrezabala,0,,0,0,0,0.0,2,0,25,0,0.0,0,0,344,69.64,1
Jules Koundé,1,1.12,3,15,10,10.0,34,18,44,0,9.0,3,1,1148,90.25,13
Julián Alvarez,7,6.88,7,22,46,15.22,14,2,4,0,0.0,9,3,472,82.95,42
Junior Firpo,0,0.46,0,3,5,0.0,19,6,23,1,1.0,2,1,218,82.89,7
Kareem Tunde,0,0.25,0,6,5,0.0,7,3,2,0,0.0,1,0,52,68.42,2
Kervin Arriaga,1,0.28,0,4,7,14.29,26,9,33,1,9.0,1,1,418,83.77,3
Kike Barja,0,0.06,0,2,1,0.0,4,0,4,0,1.0,0,0,32,68.09,2
Kike García,3,4.68,6,7,32,9.38,7,3,11,0,1.0,3,1,125,61.58,15
Kike Salas,1,0.86,0,2,10,10.0,25,20,82,0,9.0,0,0,613,82.28,3
Kiko Femenía,0,0.12,0,5,5,0.0,31,25,32,0,2.0,1,1,375,79.45,12
Koke,2,0.37,0,2,8,25.0,33,13,21,0,1.0,2,2,1155,92.55,18
Kwasi Sibo,0,0.27,0,2,6,0.0,13,5,12,0,2.0,0,0,279,87.74,2
Kylian Mbappé,23,20.5,14,62,109,21.1,2,2,0,0,0.0,8,4,651,87.15,53
Ladislav Krejčí,0,0.12,0,0,1,0.0,2,1,1,0,,0,0,92,88.46,0
Lamine Yamal,10,7.56,4,99,80,12.5,27,7,3,0,0.0,20,8,781,81.1,54
Lander Astiazaran,0,0.03,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0.0,0
Lander Pinillos,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,1,100.0,0
Largie Ramazani,1,1.48,1,9,11,9.09,3,1,0,0,0.0,1,1,47,74.6,2
Lass Kourouma,0,,0,0,0,0.0,0,1,0,0,0.0,0,0,10,76.92,0
Leander Dendoncker,1,0.8,1,4,9,11.11,36,12,34,0,7.0,0,0,474,86.34,6
Leandro Cabrera,3,2.22,4,4,27,11.11,24,14,114,1,13.0,1,0,749,81.24,6
Leo Román,0,,0,0,0,0.0,1,1,15,2,0.0,0,0,351,65.0,0
Luca Koleosho,0,0.04,0,4,1,0.0,1,1,1,0,0.0,0,0,23,95.83,1
Lucas Ahijado,0,0.92,2,10,8,0.0,38,11,26,0,3.0,1,1,250,78.13,5
Lucas Beltrán,1,2.67,5,15,26,3.85,16,4,10,0,1.0,4,2,224,77.24,11
Lucas Bergström,0,,0,0,0,0.0,0,0,16,0,0.0,0,0,78,53.79,0
Lucas Boyé,5,5.1,7,26,39,12.82,24,5,9,0,3.0,3,1,209,74.38,18
Lucas Cepeda,0,0.43,1,1,5,0.0,3,0,0,0,0.0,0,0,39,81.25,2
Lucas Torró,0,1.07,1,6,17,0.0,22,18,36,0,3.0,1,1,520,74.93,10
Lucien Agoumé,1,0.69,0,7,11,9.09,36,26,25,1,4.0,5,2,678,81.69,19
Luis Milla,0,0.72,0,15,17,0.0,30,23,30,0,5.0,11,8,712,78.94,53
Luis Rioja,2,1.55,0,21,29,6.9,20,11,20,0,0.0,4,3,390,77.69,23
Luis Vázquez,2,0.45,0,0,7,28.57,2,0,2,0,0.0,0,0,27,61.36,1
Luiz Felipe,0,0.38,0,0,3,0.0,5,5,14,0,1.0,0,0,156,91.23,0
Luiz Júnior,0,,0,0,0,0.0,0,1,43,0,0.0,0,0,327,72.99,0
Luka Ilić,1,0.43,2,1,5,20.0,9,4,7,0,3.0,0,0,132,80.0,1
Luka Sučić,1,1.05,1,4,8,12.5,6,1,7,0,0.0,0,0,124,78.48,3
Léo Pétrot,0,0.42,0,2,5,0.0,24,7,40,0,8.0,1,0,483,86.25,2
Manor Solomon,1,0.42,0,6,2,50.0,1,0,0,0,0.0,1,1,42,85.71,2
Manu Bueno,0,0.03,0,0,1,0.0,2,0,3,0,0.0,0,0,44,91.67,2
Manu Fernández,0,0.05,0,1,2,0.0,13,7,30,0,3.0,0,0,441,90.18,3
Manu Morlanes,1,0.59,0,4,4,25.0,34,11,13,0,2.0,1,0,385,88.1,10
Manuel Sánchez,1,0.63,1,8,8,12.5,48,20,54,0,3.0,1,1,429,80.64,11
Marash Kumbulla,0,0.1,0,1,3,0.0,3,2,13,0,2.0,0,0,226,78.75,1
Marc Aguado,0,0.04,0,0,1,0.0,33,31,28,0,15.0,0,1,764,90.09,3
Marc Bartra,1,0.25,0,5,9,11.11,41,23,122,0,22.0,0,0,725,85.7,4
Marc Bernal,1,0.46,0,2,3,33.33,5,0,6,0,0.0,2,1,156,91.76,4
Marc Casadó,0,0.48,0,2,9,0.0,11,6,4,0,2.0,0,1,633,91.21,10
Marc Domenech,0,0.11,0,1,3,0.0,3,0,4,0,0.0,1,1,19,59.38,2
Marc Pubill,0,0.11,0,1,4,0.0,12,14,44,0,12.0,1,1,388,88.58,2
Marc Roca,0,1.05,2,8,9,0.0,29,12,21,0,4.0,2,1,573,86.69,10
Marc-André Ter Stegen,0,,0,0,0,0.0,0,0,1,0,0.0,0,0,69,92.0,0
Marco Esteban,0,,0,0,0,0.0,0,0,2,0,0.0,0,0,11,84.62,0
Marcos Alonso,1,1.69,0,6,17,5.88,25,19,104,0,11.0,1,0,1375,90.1,10
Marcos Llorente,0,1.67,1,11,13,0.0,40,9,40,0,1.0,7,3,955,89.25,15
Marcus Rashford,4,5.73,9,19,63,6.35,7,1,13,0,1.0,5,6,465,83.78,33
Marcão,0,0.71,1,1,10,0.0,13,5,59,1,5.0,0,0,407,87.34,0
Mariano Díaz,0,0.16,0,1,5,0.0,3,0,2,0,1.0,2,0,25,64.1,2
Mario Martín,2,1.14,0,10,21,9.52,43,6,14,0,3.0,0,0,308,75.86,7
Marko Dmitrović,0,,0,0,0,0.0,3,0,18,0,0.0,0,0,356,56.24,1
Maroan Sannadi,1,1.02,0,1,7,14.29,0,1,3,0,0.0,1,0,46,71.88,2
Martim Neto,2,0.84,1,18,12,16.67,13,2,11,1,1.0,3,4,424,89.26,20
Martin Valjent,0,0.57,0,4,13,0.0,28,13,140,0,12.0,0,0,831,85.76,1
Martín Satriano,1,0.85,0,6,11,9.09,6,4,7,0,0.0,1,0,75,63.03,4
Mateo Joseph,2,3.76,6,11,25,8.0,22,8,16,0,3.0,3,2,179,81.36,10
Mateu Morey,1,0.3,0,4,4,25.0,16,6,27,1,3.0,1,0,147,77.37,3
Mathew Ryan,0,,0,0,0,0.0,1,1,25,0,0.0,0,0,436,67.81,0
Matias Moreno,0,0.39,1,2,4,0.0,17,20,68,0,11.0,0,0,394,85.65,2
Matteo Ruggeri,0,0.08,0,2,3,0.0,28,9,37,0,1.0,1,0,444,87.92,12
Matías Dituro,0,,0,0,0,0.0,0,0,14,0,0.0,0,0,351,75.32,2
Matías Vecino,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,12,85.71,0
Mauro Arambarri,4,3.73,3,15,39,10.26,45,14,22,0,4.0,1,1,406,75.75,13
Miguel Román,1,0.91,1,2,8,12.5,25,9,16,0,6.0,3,0,480,87.91,13
Miguel Rubio,1,0.65,0,1,1,100.0,1,0,18,0,4.0,0,0,47,74.6,0
Miguel Sierra,0,0.18,0,2,4,0.0,4,0,2,0,0.0,0,0,15,62.5,0
Mihailo Ristić,0,0.02,0,6,1,0.0,1,2,7,0,2.0,0,0,120,83.92,2
Mikel Goti,0,0.35,1,2,3,0.0,0,0,1,1,1.0,0,0,14,48.28,0
Mikel Jauregizar,1,1.26,0,5,27,3.7,50,37,21,0,2.0,1,0,786,82.48,21
Mikel Oyarzabal,9,9.79,11,23,58,15.52,19,2,19,0,2.0,9,3,329,76.69,30
Mikel Vesga,0,0.13,1,2,2,0.0,10,7,7,0,0.0,0,0,120,78.95,1
Moi Gómez,0,0.28,0,4,8,0.0,12,9,7,1,1.0,1,0,566,88.85,7
Mouctar Diakhaby,1,0.53,0,1,4,25.0,8,10,43,1,2.0,0,0,280,87.5,1
Mourad El Ghezouani,0,0.07,0,0,1,0.0,4,0,0,0,0.0,0,0,11,73.33,1
Moussa Diarra,0,,0,1,0,0.0,6,1,6,0,0.0,0,0,41,64.06,1
Nacho Vidal,0,1.17,2,6,7,0.0,21,16,42,0,3.0,0,0,349,81.92,2
Nahuel Molina,0,0.03,0,4,2,0.0,16,7,13,0,3.0,2,1,273,80.77,12
Nahuel Tenaglia,1,0.9,1,8,14,7.14,35,23,100,1,17.0,1,0,768,86.58,5
Natan,0,0.31,0,2,8,0.0,21,26,153,1,12.0,0,0,801,87.54,5
Neal Maupay,1,0.39,1,1,4,25.0,1,0,0,0,1.0,0,0,41,78.85,3
Nelson Deossa,0,0.36,0,20,14,0.0,10,3,8,0,0.0,1,0,176,85.02,5
Nemanja Gudelj,1,0.58,0,4,15,6.67,24,11,72,0,9.0,0,0,589,89.38,2
Nico Serrano,1,0.56,0,5,12,8.33,3,2,2,0,0.0,1,0,75,82.42,6
Nico Williams,4,4.5,4,47,37,10.81,12,6,7,0,0.0,5,2,348,76.48,27
Nicolas Fonseca,0,0.05,0,1,2,0.0,7,1,1,0,3.0,0,0,33,75.0,1
Nicolas Pépé,3,5.27,6,31,35,8.57,24,11,16,0,0.0,7,3,392,83.05,34
Nicolás González,1,2.4,4,15,30,3.33,15,9,17,1,2.0,3,0,282,74.02,9
Nobel Mendy,1,1.43,2,3,9,11.11,12,11,75,0,11.0,0,0,483,86.71,1
Obed Vargas,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,12,85.71,0
Odysseas Vlachodimos,0,,0,0,0,0.0,0,1,24,0,0.0,0,0,410,65.6,0
Oier Luengo,0,0.04,0,0,1,0.0,6,2,5,0,2.0,0,1,78,88.64,1
Oihan Sancet,1,3.33,3,7,27,3.7,10,3,7,0,2.0,0,0,299,81.47,16
Omar El Hilali,0,0.01,0,3,1,0.0,44,21,45,1,6.0,2,2,608,82.05,9
Omar Falah,0,,0,0,0,0.0,0,0,2,0,0.0,0,0,6,85.71,0
Omar Mascarell,1,0.05,0,2,1,100.0,26,21,39,1,8.0,1,1,385,81.91,5
Oriol Rey,0,0.29,0,1,4,0.0,15,6,18,0,2.0,0,0,270,83.85,2
Orri Steinn Óskarsson,2,1.52,3,1,6,33.33,3,1,5,0,0.0,1,0,18,54.55,1
Oso,0,0.67,1,6,8,0.0,8,2,5,0,1.0,2,1,163,80.3,12
Ovie Ejaria,0,0.14,0,2,3,0.0,4,2,3,0,0.0,0,0,82,87.23,1
Pablo Agudín,0,0.04,0,1,2,0.0,0,0,2,0,0.0,0,0,6,50.0,0
Pablo Barrios,1,1.7,1,32,21,4.76,29,23,12,0,2.0,3,1,882,89.0,20
Pablo Cuñat,0,,0,0,0,0.0,0,0,6,0,0.0,0,0,29,50.88,0
Pablo Durán,2,2.43,2,5,20,10.0,10,3,10,0,2.0,2,2,156,69.33,6
Pablo Fornals,6,2.87,1,17,32,18.75,27,24,16,0,2.0,4,4,945,85.91,49
Pablo García,0,1.14,1,5,11,0.0,10,4,1,0,0.0,0,0,70,79.55,2
Pablo Gavi,0,,0,0,0,0.0,2,0,1,0,0.0,0,1,63,94.03,3
Pablo Ibáñez,1,3.5,3,26,32,3.13,30,13,22,0,7.0,1,1,581,85.44,12
Pablo Maffeo,1,0.18,0,24,3,33.33,43,20,57,0,14.0,0,0,365,73.74,8
Pablo Martínez,1,1.73,1,10,23,4.35,12,15,18,0,9.0,5,2,303,76.52,17
Pablo Marín,0,1.15,2,11,12,0.0,12,5,8,0,1.0,0,0,218,80.44,6
Pablo Torre,1,0.69,1,5,8,12.5,6,7,8,0,2.0,1,2,299,81.69,20
Paco Cortés,0,0.03,0,2,1,0.0,1,0,0,0,0.0,0,0,9,56.25,0
Pape Gueye,2,1.01,1,6,21,9.52,17,14,26,1,4.0,2,1,439,81.3,10
Pathé Ismaël Ciss,1,1.63,2,4,11,9.09,31,17,36,0,8.0,0,0,665,89.26,7
Pau Cubarsí,0,0.47,0,1,8,0.0,26,18,67,0,9.0,1,0,1509,94.61,4
Pau López,0,,0,0,0,0.0,0,0,7,0,0.0,0,0,166,75.11,0
Pau Navarro,0,0.02,0,5,1,0.0,36,7,32,1,8.0,1,0,413,84.8,2
Paulo Gazzaniga,0,,0,0,0,0.0,0,0,24,2,0.0,0,0,440,64.9,0
Pedri,2,1.48,4,24,17,11.76,28,14,12,0,1.0,5,5,1111,91.14,38
Pedro Bigas,0,0.57,1,3,7,0.0,26,19,50,0,9.0,3,2,908,90.08,8
Pedro Díaz,0,0.8,0,6,25,0.0,24,2,10,0,0.0,2,0,409,87.02,17
Pelayo Fernández,0,0.04,0,0,1,0.0,1,0,3,0,0.0,0,0,30,85.71,0
Pepelu,2,3.5,2,7,22,9.09,47,17,48,1,5.0,1,0,935,86.49,19
Peque Fernández,2,0.97,0,14,14,14.29,10,1,2,0,0.0,0,1,266,81.1,15
Pere Milla,6,5.82,5,6,48,12.5,25,11,10,0,3.0,4,0,279,73.23,28
Pol Lozano,1,0.37,0,1,11,9.09,25,16,15,0,2.0,0,0,597,87.41,17
Portu,0,1.36,3,0,9,0.0,4,2,0,0,1.0,0,0,56,71.79,3
Rafa Marín,1,0.32,0,1,3,33.33,26,14,85,0,12.0,0,0,698,90.53,3
Rafa Mir,6,5.61,7,5,50,12.0,9,5,15,0,1.0,1,0,268,82.46,6
Ramón Martínez,0,,0,0,0,0.0,0,1,2,0,0.0,0,0,57,89.06,0
Ramón Terrats,1,0.65,0,3,5,20.0,16,7,4,0,2.0,2,0,85,76.58,5
Randy Nteka,0,0.22,0,1,4,0.0,2,0,2,0,1.0,0,0,21,77.78,1
Raphinha,8,6.1,2,12,40,20.0,8,1,6,0,0.0,9,3,342,81.43,29
Raúl Asencio,2,0.8,1,1,12,16.67,13,6,42,0,9.0,0,0,688,94.12,4
Raúl García de Haro,4,3.81,3,9,22,18.18,12,6,9,0,1.0,0,0,109,70.32,5
Raúl Moro,0,0.09,0,3,3,0.0,1,0,1,0,0.0,0,1,44,88.0,4
Renato Veiga,0,0.17,0,0,8,0.0,14,13,92,0,19.0,0,0,857,87.36,1
Ricardo Rodríguez,0,0.1,0,1,2,0.0,12,6,50,0,2.0,1,1,350,86.63,5
Robert Lewandowski,10,9.97,12,7,44,22.73,3,2,8,0,0.0,3,1,141,77.47,9
Robert Navarro,5,3.38,0,11,13,38.46,7,4,8,0,1.0,3,1,192,81.01,15
Roberto Fernández,5,5.47,4,6,41,12.2,7,4,20,0,2.0,6,2,167,69.58,16
Robin Le Normand,1,0.44,1,0,3,33.33,19,9,63,1,4.0,0,0,644,91.09,1
Rodrigo Mendoza,1,0.66,0,15,12,8.33,12,4,5,0,0.0,1,0,383,85.87,10
Rodrigo Riquelme,0,1.84,4,7,17,0.0,9,3,4,0,0.0,1,1,195,83.33,13
Rodrygo,1,1.89,1,17,24,4.17,12,3,3,0,0.0,7,3,283,90.42,16
Roger Brugué,0,2.21,4,9,18,0.0,10,4,16,0,1.0,2,1,168,80.77,6
Ronald Araújo,2,0.38,0,0,6,33.33,10,8,25,0,4.0,0,0,442,92.86,1
Roony Bardghji,1,1.04,3,14,13,7.69,2,0,2,0,0.0,3,1,129,87.16,9
Ruben Vargas,3,2.04,0,9,22,13.64,10,4,6,0,0.0,3,4,229,70.9,11
Rubén García,2,1.36,0,7,19,10.53,34,8,16,0,0.0,7,5,389,78.59,26
Rubén Iranzo,0,,0,0,0,0.0,1,0,2,0,0.0,0,0,2,100.0,0
Rubén Sánchez,0,0.05,0,11,3,0.0,5,9,16,1,4.0,0,0,168,77.42,2
Salomón Rondón,2,3.03,4,9,24,8.33,3,1,12,0,1.0,0,0,148,71.84,5
Samu Becerra,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,11,91.67,1
Samú Costa,4,1.86,1,9,20,20.0,36,17,60,0,10.0,0,0,547,77.59,10
Santi Cazorla,0,0.19,0,3,5,0.0,10,1,3,0,1.0,1,0,226,89.33,10
Santi Comesaña,2,2.88,2,6,19,10.53,30,11,28,0,10.0,1,2,577,81.96,12
Santiago Colombatto,0,0.5,0,5,12,0.0,28,6,27,0,3.0,3,1,544,85.4,19
Santiago Mouriño,0,0.29,0,7,6,0.0,57,18,61,0,5.0,0,1,624,85.95,3
Sebastián Boselli,0,0.2,1,0,1,0.0,0,0,2,0,0.0,0,0,2,100.0,0
Selton Sanchez,0,0.27,0,1,4,0.0,2,1,0,0,0.0,0,1,35,68.63,4
Sergi Altimira,1,0.22,0,2,3,33.33,32,15,13,0,3.0,0,1,452,90.95,8
Sergi Cardona,0,0.72,0,2,10,0.0,25,22,26,1,3.0,4,3,348,81.88,13
Sergi Darder,1,1.75,2,28,24,4.17,16,15,8,0,4.0,8,2,523,83.02,32
Sergio Camello,0,0.97,3,7,9,0.0,2,2,0,0,0.0,0,0,107,84.92,6
Sergio Carreira,2,1.3,0,16,10,20.0,24,15,40,0,0.0,0,1,793,85.92,13
Sergio Gómez,0,0.85,2,7,7,0.0,69,19,40,0,3.0,6,1,770,85.46,24
Sergio Herrera,0,,0,0,0,0.0,0,0,33,1,0.0,0,0,455,67.21,0
Sergio Lozano,0,,0,0,0,0.0,2,0,0,0,0.0,0,0,7,100.0,0
Sheraldo Becker,0,0.13,0,0,3,0.0,2,3,4,0,0.0,0,0,32,71.11,2
Sofyan Amrabat,0,0.14,0,2,4,0.0,11,6,6,0,2.0,0,0,394,90.78,4
Stanis Idumbo Muzambo,0,0.03,0,0,1,0.0,1,0,0,0,,0,0,7,63.64,1
Stole Dimitrievski,0,,0,0,0,0.0,0,0,1,0,0.0,0,0,82,54.3,0
Tai Abed Kassus,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
Tajon Buchanan,5,1.7,2,19,21,23.81,24,18,15,0,1.0,4,1,285,82.37,15
Takefusa Kubo,2,2.28,2,27,25,8.0,25,7,9,0,0.0,5,3,299,79.52,27
Takuma Asano,1,1.11,2,2,9,11.11,5,1,3,0,0.0,2,0,58,72.5,2
Tanguy Nianzou,0,0.1,0,1,3,0.0,11,1,34,0,1.0,0,0,164,88.65,1
Tani Oluwaseyi,2,3.16,6,7,13,15.38,4,0,4,1,1.0,2,1,45,62.5,4
Tete Morente,0,0.07,0,0,1,0.0,2,0,0,0,0.0,0,0,11,64.71,0
Thiago Almada,3,2.98,4,12,14,21.43,12,3,3,0,1.0,2,1,303,86.32,11
Thiago Borbas,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,6,54.55,0
Thiago Fernández,0,0.09,0,0,1,0.0,1,0,0,0,0.0,1,1,4,100.0,1
Thibaut Courtois,0,,0,0,0,0.0,1,0,14,0,0.0,1,0,533,79.2,1
Thierry Correia,0,0.29,0,7,4,0.0,19,12,23,0,0.0,1,1,342,80.66,7
Thomas Lemar,1,0.92,1,6,13,7.69,11,1,1,0,2.0,1,1,334,87.89,12
Thomas Partey,0,0.36,0,3,8,0.0,14,11,12,1,2.0,0,0,329,86.35,5
Tomás Marqués,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,6,100.0,0
Toni Fernández,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,7,77.78,1
Toni Lato,0,,0,1,0,0.0,7,4,4,0,3.0,1,1,75,78.95,3
Toni Martínez,4,5.09,8,11,45,8.89,16,4,21,0,1.0,3,2,199,58.53,11
Trent Alexander-Arnold,0,0.06,0,2,3,0.0,8,9,2,0,1.0,2,1,252,86.6,9
Tyrhys Dolan,1,1.74,1,22,23,4.35,40,6,8,0,0.0,4,3,309,83.51,20
Ugo Raghouber,0,0.02,0,2,1,0.0,9,5,8,0,0.0,0,0,117,86.67,0
Umar Sadiq,0,0.29,0,3,8,0.0,1,0,2,0,0.0,1,0,29,64.44,4
Unai Elgezabal,1,0.67,1,0,3,33.33,8,3,70,0,16.0,0,0,348,85.09,2
Unai Gómez,1,1.34,2,2,10,10.0,7,0,6,0,1.0,0,1,98,75.38,5
Unai López,0,0.52,0,7,14,0.0,19,13,13,0,3.0,1,3,622,88.1,22
Unai Núñez,0,0.02,0,0,1,0.0,3,2,6,0,0.0,0,0,20,76.92,0
Unai Simón,0,,0,0,0,0.0,1,0,27,0,0.0,0,0,408,58.79,1
Unai Vencedor,0,,0,3,0,0.0,21,6,14,0,5.0,3,0,311,81.63,10
Urko González,0,0.48,0,4,11,0.0,31,19,36,0,7.0,0,1,454,82.1,8
Urko Izeta,0,0.75,2,1,6,0.0,2,0,0,0,0.0,1,0,30,66.67,2
Valentin Rosier,0,0.13,1,11,4,0.0,23,18,44,0,1.0,2,1,402,78.36,7
Valentín Gómez,1,0.68,1,8,9,11.11,34,16,74,1,8.0,0,0,498,86.46,5
Vedat Muriqi,15,11.17,12,13,66,22.73,4,1,43,0,4.0,1,1,265,63.86,11
Victor Muñoz,4,2.95,3,51,46,8.7,17,5,17,0,0.0,0,1,300,80.43,14
Victor Parada,0,0.44,1,5,5,0.0,15,4,37,0,4.0,1,1,304,78.15,9
Viktor Tsygankov,4,3.02,2,12,22,18.18,24,11,13,0,1.0,2,2,407,81.4,21
Vinícius Júnior,6,6.83,9,53,60,10.0,23,1,1,0,0.0,6,5,579,82.6,41
Vitor Reis,1,0.54,1,4,8,12.5,22,18,127,0,29.0,2,1,1041,90.68,6
Vladyslav Krapyvtsov,0,,0,0,0,0.0,0,0,2,0,0.0,0,0,25,64.1,0
Vladyslav Vanat,7,6.1,7,7,19,36.84,3,2,15,0,1.0,2,0,165,76.74,9
Víctor Chust,0,0.28,1,4,4,0.0,37,12,43,0,12.0,0,0,889,90.62,2
Víctor García,0,0.16,0,8,4,0.0,6,8,7,0,1.0,0,0,82,70.09,4
Víctor Valdepeñas,0,,0,1,0,0.0,5,0,1,0,0.0,0,0,32,94.12,1
Wesley,0,,0,1,0,0.0,0,0,1,0,0.0,0,0,11,64.71,0
Williot Swedberg,3,2.65,3,6,15,20.0,16,2,4,0,1.0,0,0,125,79.11,3
Wojciech Szczęsny,0,,0,0,0,0.0,0,0,9,0,0.0,0,0,152,82.16,0
Yago Santiago,0,0.12,0,4,2,0.0,2,1,5,0,0.0,0,0,87,85.29,2
Yangel Herrera,0,0.39,1,1,4,0.0,6,1,10,1,0.0,0,0,82,79.61,0
Yoel Lago,0,,0,1,0,0.0,7,3,22,0,4.0,0,0,187,93.03,1
Youssef Enriquez Lekhedim,0,0.74,1,6,9,0.0,11,10,23,0,1.0,2,0,286,77.51,8
Yuri Berchiche,0,0.32,0,5,14,0.0,26,23,68,0,1.0,2,1,778,86.83,16
Yvan Neyou,0,,0,0,0,0.0,0,0,3,0,0.0,0,0,15,83.33,0
Yáser Asprilla,0,0.58,0,13,15,0.0,8,5,4,0,1.0,2,0,129,85.43,12
Yéremy Pino,0,0.16,0,0,2,0.0,2,2,2,0,1.0,2,1,73,82.95,7
Zaid Romero,0,0.28,0,1,3,0.0,9,13,26,0,0.0,0,0,79,62.2,0
Álex Berenguer,2,3.25,6,19,31,6.45,17,8,12,1,0.0,6,2,407,76.65,34
Álex Forés,0,1.15,2,3,7,0.0,1,1,0,0,0.0,0,1,34,69.39,1
Álex Moreno,0,1.44,2,28,14,0.0,24,20,75,1,7.0,5,3,641,83.9,11
Álex Remiro,0,,0,1,0,0.0,1,1,26,1,0.0,0,0,579,69.93,3
Álex Sancris,0,0.33,0,4,11,0.0,9,2,3,0,0.0,1,1,115,68.86,7
Álex Sola,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
Álvaro Carreras,2,0.29,0,14,7,28.57,28,30,49,0,4.0,1,1,1114,90.13,19
Álvaro Fidalgo,0,0.04,0,1,1,0.0,0,0,2,0,0.0,0,0,35,94.59,0
Álvaro García,3,5.36,5,2,33,9.09,20,10,23,0,2.0,9,3,268,67.34,28
Álvaro Odriozola,1,0.52,0,0,1,100.0,5,0,3,0,2.0,2,0,24,85.71,3
Álvaro Rodriguez,5,5.02,7,26,44,11.36,11,2,15,0,1.0,5,4,211,67.2,21
Álvaro Valles,0,,0,1,0,0.0,0,0,18,0,0.0,0,0,338,71.01,0
Ángel Pérez,0,0.05,0,1,1,0.0,2,0,1,0,0.0,0,0,22,75.86,0
Éder Militão,1,1.37,1,1,17,5.88,20,10,46,0,10.0,2,1,613,90.81,7
Íñigo Lekue,0,0.13,0,3,3,0.0,12,2,15,0,0.0,0,0,126,77.3,0
Óscar Mingueza,1,0.6,0,9,13,7.69,32,4,23,0,5.0,4,2,668,83.08,20
Óscar Trejo,0,0.17,0,0,1,0.0,1,0,0,0,0.0,0,0,48,84.21,3
Óscar Valentín,0,0.34,0,0,9,0.0,43,15,37,0,6.0,1,0,455,88.18,3
Ørjan Nyland,0,,0,0,0,0.0,0,0,5,0,0.0,0,0,79,67.52,0
